bar,timestamp_open_utc,open,high,low,close,volume_base
1,2025-01-01T00:00:00Z,10,10.5,9.5,10,100
2,2025-01-01T00:05:00Z,10,10.5,9.5,10,100
3,2025-01-01T00:10:00Z,10,10.5,9.5,10,100
4,2025-01-01T00:15:00Z,10,10.5,9.5,10,100
5,2025-01-01T00:20:00Z,10,10.5,9.5,10,100
6,2025-01-01T00:25:00Z,10,11.5,9.5,11,100
7,2025-01-01T00:30:00Z,11,12.5,10.5,12,100
8,2025-01-01T00:35:00Z,12,13.5,11.5,13,100
9,2025-01-01T00:40:00Z,13,14.5,12.5,14,100
10,2025-01-01T00:45:00Z,14,15.5,13.5,15,100
11,2025-01-01T00:50:00Z,15,15.5,13.5,14,100
12,2025-01-01T00:55:00Z,14,14.5,11.5,12,100
13,2025-01-01T01:00:00Z,12,12.5,9.5,10,100
14,2025-01-01T01:05:00Z,10,10.5,5.5,6,100
15,2025-01-01T01:10:00Z,6,7.5,5.5,7,100
16,2025-01-01T01:15:00Z,7,8.5,6.5,8,100
